rank,attraction_id,name,category,neighborhood,rating,review_count,travelers_choice,open_status,booking_available,description,url
21,195120,Calle Sierpes,Points of Interest & Landmarks,Casco Antiguo,4,777,TRUE,,,"A pleasant, shady street lined with shops, cafes and restaurants.",https://www.tripadvisor.com/Attraction_Review-g187443-d195120-Reviews-Calle_Sierpes-Seville_Province_of_Seville_Andalucia.html
22,8736765,Torre Sevilla,Points of Interest & Landmarks • Architectural Buildings,,4.4,393,FALSE,,,"TORRE SEVILLA, the centre of the new Andalusia In a prime location, next to the Guadalquivir river, between the Cartuja technology district and the tradition of the Triana neighbourhood, and just …",https://www.tripadvisor.com/Attraction_Review-g187443-d8736765-Reviews-Torre_Sevilla-Seville_Province_of_Seville_Andalucia.html
23,2170669,Hospital de los Venerables,Speciality Museums,Casco Antiguo,4.3,919,TRUE,,,,https://www.tripadvisor.com/Attraction_Review-g187443-d2170669-Reviews-Hospital_de_los_Venerables-Seville_Province_of_Seville_Andalucia.html
24,7233188,Acuario de Sevilla,Aquariums,,3.9,702,FALSE,,Admission Tickets Available,,https://www.tripadvisor.com/Attraction_Review-g187443-d7233188-Reviews-Acuario_de_Sevilla-Seville_Province_of_Seville_Andalucia.html
25,10113912,Jardines de los Reales Alcazares,Gardens,,4.7,1851,TRUE,,Admission Tickets Available,,https://www.tripadvisor.com/Attraction_Review-g187443-d10113912-Reviews-Jardines_de_los_Reales_Alcazares-Seville_Province_of_Seville_Andalucia.html
26,191198,Archivo General de Indias,Libraries • History Museums,Casco Antiguo,4,1258,TRUE,,,An archive containing some of the most important historical records of Spanish colonialism in the Americas.,https://www.tripadvisor.com/Attraction_Review-g187443-d191198-Reviews-Archivo_General_de_Indias-Seville_Province_of_Seville_Andalucia.html
27,1141747,AIRE Ancient Baths Sevilla,Spas • Thermal Spas,Casco Antiguo,4.2,1931,FALSE,,,"Just a few steps away from the cathedral, in an alley named Aire in the neighborhood of Santa Cruz, you will find AIRE Sevilla, at a magnificent Mudéjar-style palace that embraces more than 5 centuries…",https://www.tripadvisor.com/Attraction_Review-g187443-d1141747-Reviews-AIRE_Ancient_Baths_Sevilla-Seville_Province_of_Seville_Andalucia.html
28,10459778,Centro Ecuestre Entrepinares,Equestrian Trails,,4.9,369,TRUE,,,"Horse back riding route, enjoy a unique activity, live the experience of riding in an incomparable environment, DOÑAÑA Nationl Park, a protected area known for its nature where the most representative…",https://www.tripadvisor.com/Attraction_Review-g187443-d10459778-Reviews-Centro_Ecuestre_Entrepinares-Seville_Province_of_Seville_Andalucia.html
29,2312038,La Reserva del Castillo de las Guardas,Nature & Wildlife Areas,,3.5,420,FALSE,,,"🐾 La Reserva Andalucía - Un parque con corazón para los animales 🌍 Descubre el parque y su misión La Reserva Andalucía es un parque único cerca de Sevilla, dedicado a proteger y rescatar animales…",https://www.tripadvisor.com/Attraction_Review-g187443-d2312038-Reviews-La_Reserva_del_Castillo_de_las_Guardas-Seville_Province_of_Seville_Andalucia.html
30,13547169,Ceramicas Sevilla 1952,Art Galleries,,4.9,122,FALSE,,,,https://www.tripadvisor.com/Attraction_Review-g187443-d13547169-Reviews-Ceramicas_Sevilla_1952-Seville_Province_of_Seville_Andalucia.html
