rank,attraction_id,name,category,neighborhood,rating,review_count,travelers_choice,open_status,booking_available,description,url
5372,21274992,Babyboo,Gear Rentals • Self-Guided Tours & Rentals,Eixample,,,FALSE,,,"Babyboo is a project started by people for people. We believe that the current consumption model is not viable in the long term with the planet that we must leave to our children. Therefore, we encourage…",https://www.tripadvisor.com/Attraction_Review-g187497-d21274992-Reviews-Babyboo-Barcelona_Catalonia.html
5373,21196853,Bencinibarcelona,Art Galleries,El Born / La Ribera,,,FALSE,,,,https://www.tripadvisor.com/Attraction_Review-g187497-d21196853-Reviews-Bencinibarcelona-Barcelona_Catalonia.html
5374,21394208,WalkWithMe Tours,City Tours • Cultural Tours,,,,FALSE,,,"WalkWithMe Tours is an online platform offering interactive virtual walking tours, run by local tourism professionals via video call live and on location",https://www.tripadvisor.com/Attraction_Review-g187497-d21394208-Reviews-WalkWithMe_Tours-Barcelona_Catalonia.html
5375,21397038,Vexperio,Walking Tours,El Raval,,,FALSE,,,"We offer live, virtual tours of Barcelona, led by some of Spain’s best tour guides. Our tours are fully interactive, allowing you to really immerse yourself in the history – all from the comfort of…",https://www.tripadvisor.com/Attraction_Review-g187497-d21397038-Reviews-Vexperio-Barcelona_Catalonia.html
5376,21404059,Església de Nostra Senyora de la Visitació,Churches & Cathedrals,,,,FALSE,,,,https://www.tripadvisor.com/Attraction_Review-g187497-d21404059-Reviews-Esglesia_de_Nostra_Senyora_de_la_Visitacio-Barcelona_Catalonia.html
5377,21352700,Escápate Viajes,Shark Diving • Swim with Dolphins,,,,FALSE,,,"Reservation of hotels, rural houses, apartments, villas, weekend getaways, cheap flights. We help you find the best travel deal. Personalized travel agent for safe travel.",https://www.tripadvisor.com/Attraction_Review-g187497-d21352700-Reviews-Escapate_Viajes-Barcelona_Catalonia.html
5378,23063574,Flamicell Art Contemporani,Art Galleries,,,,FALSE,,,,https://www.tripadvisor.com/Attraction_Review-g187497-d23063574-Reviews-Flamicell_Art_Contemporani-Barcelona_Catalonia.html
5379,23065026,Intermediatours,Multi-day Tours • Cultural Tours,,,,FALSE,,,"Tour Operator, Travel Agency, guided tours throughout Spain and Europe. 26 years of experience in the tourism sector. Own product created and marketed under our experience. Best quality / price ratio…",https://www.tripadvisor.com/Attraction_Review-g187497-d23065026-Reviews-Intermediatours-Barcelona_Catalonia.html
5380,23178311,www.gymkanaturistica.com,Cultural Tours • Historical & Heritage Tours,La Guineueta,,,FALSE,,,Gymkana Digital is a new tourist experience through which the traveler solves different enigmas while learning about the cultural heritage of the municipality. A new tourism proposal that aims to …,https://www.tripadvisor.com/Attraction_Review-g187497-d23178311-Reviews-Www_gymkanaturistica_com-Barcelona_Catalonia.html
5381,23066760,Meri Garcia,Private Tours,,,,FALSE,,,Do you want to go shopping at a good price and have a professional advise you on what is best with your image? I am Meri. My hobby is fashion. And do you love it? I have completed a master's degree…,https://www.tripadvisor.com/Attraction_Review-g187497-d23066760-Reviews-Meri_Garcia-Barcelona_Catalonia.html
5385,23454672,Deogracias angulo escudero,Boat Tours,,,,FALSE,,,"Sailing I am Deo, all my life in this beautiful city that is Barcelona. I have combined my two passions which are hospitality and sailing. I love dealing with people and being able to teach notions…",https://www.tripadvisor.com/Attraction_Review-g187497-d23454672-Reviews-Deogracias_angulo_escudero-Barcelona_Catalonia.html
5387,23524906,Super Siberia Social Club,Bars & Clubs,Eixample,,,FALSE,,,"A high-end social club located just 3 minutes from Placa España. We host live music, art expos, and so much more!",https://www.tripadvisor.com/Attraction_Review-g187497-d23524906-Reviews-Super_Siberia_Social_Club-Barcelona_Catalonia.html
5388,23545542,3 Punts Galeria,Art Galleries,Eixample,,,FALSE,,,,https://www.tripadvisor.com/Attraction_Review-g187497-d23545542-Reviews-3_Punts_Galeria-Barcelona_Catalonia.html
5389,23460842,Escuela de Artes Aplicadas y Oficios Artísticos,Architectural Buildings,Barrio Gòtico (Barri Gòtic),,,FALSE,,,,https://www.tripadvisor.com/Attraction_Review-g187497-d23460842-Reviews-Escuela_de_Artes_Aplicadas_y_Oficios_Artisticos-Barcelona_Catalonia.html
