location_id,name,rating,review_count,cuisine,price_range,url
697578,Essence by Espaisucre,3.9,181,European,$$$$,https://www.tripadvisor.com/Restaurant_Review-g187497-d697578-Reviews-Essence_by_Espaisucre-Barcelona_Catalonia.html
697579,Restaurant Ca L Estevet,4.4,614,Catalan,$$ - $$$,https://www.tripadvisor.com/Restaurant_Review-g187497-d697579-Reviews-Restaurant_Ca_L_Estevet-Barcelona_Catalonia.html
697581,Fil Manila,4.0,73,"Filipino, Asian",$$ - $$$,https://www.tripadvisor.com/Restaurant_Review-g187497-d697581-Reviews-Fil_Manila-Barcelona_Catalonia.html
697582,Flash Flash,3.6,569,"Mediterranean, European",$$ - $$$,https://www.tripadvisor.com/Restaurant_Review-g187497-d697582-Reviews-Flash_Flash-Barcelona_Catalonia.html
697586,Gorria,4.4,601,"Mediterranean, European",$$$$,https://www.tripadvisor.com/Restaurant_Review-g187497-d697586-Reviews-Gorria-Barcelona_Catalonia.html
697587,Restaurante Govinda,3.7,266,Indian,$$ - $$$,https://www.tripadvisor.com/Restaurant_Review-g187497-d697587-Reviews-Restaurante_Govinda-Barcelona_Catalonia.html
697611,Bar Kasparo,4.0,217,"Bar, Mediterranean",$$ - $$$,https://www.tripadvisor.com/Restaurant_Review-g187497-d697611-Reviews-Bar_Kasparo-Barcelona_Catalonia.html
717238,El Pintor,3.9,527,"Spanish, Grill",$$ - $$$,https://www.tripadvisor.com/Restaurant_Review-g187497-d717238-Reviews-El_Pintor-Barcelona_Catalonia.html
717241,Bar Jai Ca,4.1,2080,"Bar, Seafood",$,https://www.tripadvisor.com/Restaurant_Review-g187497-d717241-Reviews-Bar_Jai_Ca-Barcelona_Catalonia.html
717255,Restaurante L hortet,4.3,311,"Mediterranean, European",$$ - $$$,https://www.tripadvisor.com/Restaurant_Review-g187497-d717255-Reviews-Restaurante_L_hortet-Barcelona_Catalonia.html
717257,L Olive,4.1,812,"Mediterranean, European",$$$$,https://www.tripadvisor.com/Restaurant_Review-g187497-d717257-Reviews-L_Olive-Barcelona_Catalonia.html
717258,La Balsa,3.8,480,"Mediterranean, European",$$$$,https://www.tripadvisor.com/Restaurant_Review-g187497-d717258-Reviews-La_Balsa-Barcelona_Catalonia.html
717260,La Bodegueta,3.9,885,"Bar, Mediterranean",$$ - $$$,https://www.tripadvisor.com/Restaurant_Review-g187497-d717260-Reviews-La_Bodegueta-Barcelona_Catalonia.html
717269,La Dama,4.1,290,"French, Mediterranean",$$$$,https://www.tripadvisor.com/Restaurant_Review-g187497-d717269-Reviews-La_Dama-Barcelona_Catalonia.html
717271,La Dolca Herminia,3.6,1024,"Mediterranean, Spanish",$$ - $$$,https://www.tripadvisor.com/Restaurant_Review-g187497-d717271-Reviews-La_Dolca_Herminia-Barcelona_Catalonia.html
717275,La Fonda,3.8,7080,"Spanish, Catalan",$$ - $$$,https://www.tripadvisor.com/Restaurant_Review-g187497-d717275-Reviews-La_Fonda-Barcelona_Catalonia.html
717284,La Llotja,3.2,53,"Seafood, Mediterranean",$$ - $$$,https://www.tripadvisor.com/Restaurant_Review-g187497-d717284-Reviews-La_Llotja-Barcelona_Catalonia.html
717291,Taverna La Parra,3.7,239,"Mediterranean, Barbecue",$$ - $$$,https://www.tripadvisor.com/Restaurant_Review-g187497-d717291-Reviews-Taverna_La_Parra-Barcelona_Catalonia.html
717300,Bodega la Tinaja,4.5,400,"Mediterranean, European",$$ - $$$,https://www.tripadvisor.com/Restaurant_Review-g187497-d717300-Reviews-Bodega_la_Tinaja-Barcelona_Catalonia.html
717310,La Vinya del Senyor,4.1,535,"Mediterranean, European",$$ - $$$,https://www.tripadvisor.com/Restaurant_Review-g187497-d717310-Reviews-La_Vinya_del_Senyor-Barcelona_Catalonia.html
717312,Laie Libreria Cafe,3.8,127,"Cafe, Mediterranean",$$ - $$$,https://www.tripadvisor.com/Restaurant_Review-g187497-d717312-Reviews-Laie_Libreria_Cafe-Barcelona_Catalonia.html
717318,Les Gens Que L Aime Pub,4.2,161,Pub,$$ - $$$,https://www.tripadvisor.com/Restaurant_Review-g187497-d717318-Reviews-Les_Gens_Que_L_Aime_Pub-Barcelona_Catalonia.html
717319,Les Quinze Nits,3.6,6496,"Italian, Mediterranean",$$ - $$$,https://www.tripadvisor.com/Restaurant_Review-g187497-d717319-Reviews-Les_Quinze_Nits-Barcelona_Catalonia.html
717325,Los Caracoles,3.7,5275,"Mediterranean, European",$$ - $$$,https://www.tripadvisor.com/Restaurant_Review-g187497-d717325-Reviews-Los_Caracoles-Barcelona_Catalonia.html
717334,Margarita Blue,4.3,398,"Mexican, Latin",$$ - $$$,https://www.tripadvisor.com/Restaurant_Review-g187497-d717334-Reviews-Margarita_Blue-Barcelona_Catalonia.html
717340,Meson del Cafe 1909,3.6,406,Cafe,$$ - $$$,https://www.tripadvisor.com/Restaurant_Review-g187497-d717340-Reviews-Meson_del_Cafe_1909-Barcelona_Catalonia.html
717342,MESON JESUS,4.1,453,"Mediterranean, Spanish",$$ - $$$,https://www.tripadvisor.com/Restaurant_Review-g187497-d717342-Reviews-MESON_JESUS-Barcelona_Catalonia.html
717364,Passadis del Pep,4.0,910,"Seafood, Mediterranean",$$$$,https://www.tripadvisor.com/Restaurant_Review-g187497-d717364-Reviews-Passadis_del_Pep-Barcelona_Catalonia.html
717371,Pla de la Garsa,4.4,399,"Mediterranean, European",$$ - $$$,https://www.tripadvisor.com/Restaurant_Review-g187497-d717371-Reviews-Pla_de_la_Garsa-Barcelona_Catalonia.html
717375,Punjab Restaurante,3.6,33,"Indian, Asian",$,https://www.tripadvisor.com/Restaurant_Review-g187497-d717375-Reviews-Punjab_Restaurante-Barcelona_Catalonia.html
717377,Quimet Quimet,4.5,2167,"Mediterranean, European",$$ - $$$,https://www.tripadvisor.com/Restaurant_Review-g187497-d717377-Reviews-Quimet_Quimet-Barcelona_Catalonia.html
717378,Reial Club Maritim,3.7,67,"Seafood, Mediterranean",$$ - $$$,https://www.tripadvisor.com/Restaurant_Review-g187497-d717378-Reviews-Reial_Club_Maritim-Barcelona_Catalonia.html
717388,Restaurante Pakistani,4.0,5,Chicken curry!!!,,https://www.tripadvisor.com/Restaurant_Review-g187497-d717388-Reviews-Restaurante_Pakistani-Barcelona_Catalonia.html
717395,Bar Rodrigo,4.4,1220,"Bar, Seafood",$$ - $$$,https://www.tripadvisor.com/Restaurant_Review-g187497-d717395-Reviews-Bar_Rodrigo-Barcelona_Catalonia.html
717397,Restaurante Salambo,3.9,280,"Mediterranean, European",$$ - $$$,https://www.tripadvisor.com/Restaurant_Review-g187497-d717397-Reviews-Restaurante_Salambo-Barcelona_Catalonia.html
717398,Restaurante Salero,4.0,384,"Mediterranean, European",$$ - $$$,https://www.tripadvisor.com/Restaurant_Review-g187497-d717398-Reviews-Restaurante_Salero-Barcelona_Catalonia.html
717408,Shanghai,3.8,289,"Chinese, Asian",$$$$,https://www.tripadvisor.com/Restaurant_Review-g187497-d717408-Reviews-Shanghai-Barcelona_Catalonia.html
717410,Shunka,4.4,1160,"Japanese, Sushi",$$ - $$$,https://www.tripadvisor.com/Restaurant_Review-g187497-d717410-Reviews-Shunka-Barcelona_Catalonia.html
717411,Restaurant Silenus,4.1,252,Mediterranean,$$ - $$$,https://www.tripadvisor.com/Restaurant_Review-g187497-d717411-Reviews-Restaurant_Silenus-Barcelona_Catalonia.html
717423,Tapasbar Balmes,3.0,2,Spanish,,https://www.tripadvisor.com/Restaurant_Review-g187497-d717423-Reviews-Tapasbar_Balmes-Barcelona_Catalonia.html
717425,Irati Taverna Basca,4.4,2130,"Mediterranean, European",$$ - $$$,https://www.tripadvisor.com/Restaurant_Review-g187497-d717425-Reviews-Irati_Taverna_Basca-Barcelona_Catalonia.html
718424,Altamar Restaurant,4.0,1482,"Mediterranean, European",$$$$,https://www.tripadvisor.com/Restaurant_Review-g187497-d718424-Reviews-Altamar_Restaurant-Barcelona_Catalonia.html
718426,Tragaluz,4.0,1159,"Mediterranean, European",$$$$,https://www.tripadvisor.com/Restaurant_Review-g187497-d718426-Reviews-Tragaluz-Barcelona_Catalonia.html
718429,Venus Delicatessen,3.8,611,"Mediterranean, European",$$ - $$$,https://www.tripadvisor.com/Restaurant_Review-g187497-d718429-Reviews-Venus_Delicatessen-Barcelona_Catalonia.html
718430,Via Veneto,4.5,663,"Mediterranean, European",$$$$,https://www.tripadvisor.com/Restaurant_Review-g187497-d718430-Reviews-Via_Veneto-Barcelona_Catalonia.html
718433,Restaurant Windsor,4.3,732,"Mediterranean, European",$$$$,https://www.tripadvisor.com/Restaurant_Review-g187497-d718433-Reviews-Restaurant_Windsor-Barcelona_Catalonia.html
718434,Xiringuito Escriba,4.0,2496,"Seafood, Mediterranean",$$ - $$$,https://www.tripadvisor.com/Restaurant_Review-g187497-d718434-Reviews-Xiringuito_Escriba-Barcelona_Catalonia.html
737130,Restaurant Sedna,3.9,540,"Seafood, Mediterranean",$$ - $$$,https://www.tripadvisor.com/Restaurant_Review-g187497-d737130-Reviews-Restaurant_Sedna-Barcelona_Catalonia.html
751578,Restaurante Canet,3.9,98,"Mediterranean, European",$$ - $$$,https://www.tripadvisor.com/Restaurant_Review-g187497-d751578-Reviews-Restaurante_Canet-Barcelona_Catalonia.html
751583,La Clara Restaurant,4.1,583,"Mediterranean, European",$$ - $$$,https://www.tripadvisor.com/Restaurant_Review-g187497-d751583-Reviews-La_Clara_Restaurant-Barcelona_Catalonia.html
751586,Out of China,4.2,840,"Chinese, Healthy",$$ - $$$,https://www.tripadvisor.com/Restaurant_Review-g187497-d751586-Reviews-Out_of_China-Barcelona_Catalonia.html
751588,Xarcuteria Molina La Xarcu,3.0,77,Spanish,$$ - $$$,https://www.tripadvisor.com/Restaurant_Review-g187497-d751588-Reviews-Xarcuteria_Molina_La_Xarcu-Barcelona_Catalonia.html
775516,Restaurante Hotel Market,3.4,516,"Mediterranean, European",$$ - $$$,https://www.tripadvisor.com/Restaurant_Review-g187497-d775516-Reviews-Restaurante_Hotel_Market-Barcelona_Catalonia.html
775571,Vinitus,4.6,419,"European, Catalan",$$ - $$$,https://www.tripadvisor.com/Restaurant_Review-g187497-d775571-Reviews-Vinitus-Barcelona_Catalonia.html
776472,El Petit Bangkok,4.5,906,"Asian, Thai",$$ - $$$,https://www.tripadvisor.com/Restaurant_Review-g187497-d776472-Reviews-El_Petit_Bangkok-Barcelona_Catalonia.html
777241,Rosa del Raval,4.1,1019,"Mexican, Latin",$$ - $$$,https://www.tripadvisor.com/Restaurant_Review-g187497-d777241-Reviews-Rosa_del_Raval-Barcelona_Catalonia.html
777346,La Polpa,3.8,559,"Mediterranean, Spanish",$$ - $$$,https://www.tripadvisor.com/Restaurant_Review-g187497-d777346-Reviews-La_Polpa-Barcelona_Catalonia.html
777378,El Japones del Tragaluz,3.8,632,"Japanese, Sushi",$$ - $$$,https://www.tripadvisor.com/Restaurant_Review-g187497-d777378-Reviews-El_Japones_del_Tragaluz-Barcelona_Catalonia.html
777429,Casa Mari y Rufo,3.9,423,"Seafood, Mediterranean",$$ - $$$,https://www.tripadvisor.com/Restaurant_Review-g187497-d777429-Reviews-Casa_Mari_y_Rufo-Barcelona_Catalonia.html
778744,Taverna El Glop,4.2,1703,"Seafood, Mediterranean",$$ - $$$,https://www.tripadvisor.com/Restaurant_Review-g187497-d778744-Reviews-Taverna_El_Glop-Barcelona_Catalonia.html
