location_id,name,rating,review_count,cuisine,price_range,url
697569,El Viajero,2.9,939,"Bar, Mediterranean",$$ - $$$,https://www.tripadvisor.com/Restaurant_Review-g187514-d697569-Reviews-El_Viajero-Madrid.html
697592,Hevia,4.3,206,"Mediterranean, European",$$$$,https://www.tripadvisor.com/Restaurant_Review-g187514-d697592-Reviews-Hevia-Madrid.html
697608,Bar Cock,3.5,183,Open now,$$ - $$$,https://www.tripadvisor.com/Restaurant_Review-g187514-d697608-Reviews-Bar_Cock-Madrid.html
717236,Horcher,4.3,394,"European, Central European",$$$$,https://www.tripadvisor.com/Restaurant_Review-g187514-d717236-Reviews-Horcher-Madrid.html
717246,Jose Luis Serrano,3.8,427,"Mediterranean, European",$$ - $$$,https://www.tripadvisor.com/Restaurant_Review-g187514-d717246-Reviews-Jose_Luis_Serrano-Madrid.html
717247,Jose Luis,3.6,226,"Mediterranean, European",$$ - $$$,https://www.tripadvisor.com/Restaurant_Review-g187514-d717247-Reviews-Jose_Luis-Madrid.html
717249,Kabuki,4.3,733,"Japanese, Sushi",$$$$,https://www.tripadvisor.com/Restaurant_Review-g187514-d717249-Reviews-Kabuki-Madrid.html
717251,Restaurante L Albufera,4.2,983,"Mediterranean, European",$$$$,https://www.tripadvisor.com/Restaurant_Review-g187514-d717251-Reviews-Restaurante_L_Albufera-Madrid.html
717262,La Bola,3.6,2769,"Mediterranean, European",$$ - $$$,https://www.tripadvisor.com/Restaurant_Review-g187514-d717262-Reviews-La_Bola-Madrid.html
717265,La Casa de las Torrijas,3.9,232,"Bar, Spanish",$,https://www.tripadvisor.com/Restaurant_Review-g187514-d717265-Reviews-La_Casa_de_las_Torrijas-Madrid.html
717266,La Castafiore,4.2,695,"Mediterranean, European",$$ - $$$,https://www.tripadvisor.com/Restaurant_Review-g187514-d717266-Reviews-La_Castafiore-Madrid.html
717274,Comestibles La Fabrica,3.9,270,"International, Mediterranean",$$ - $$$,https://www.tripadvisor.com/Restaurant_Review-g187514-d717274-Reviews-Comestibles_La_Fabrica-Madrid.html
717281,La Giralda,3.9,396,"Mediterranean, Spanish",$$ - $$$,https://www.tripadvisor.com/Restaurant_Review-g187514-d717281-Reviews-La_Giralda-Madrid.html
